"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.0604178434443498","0.0940658691345263","0.110903815722328","0.125","0","0","0","0","0","0",2164.40435152296
"WSLS","0.0813583477863187","0.0682729748082371","0.108444302795528","0.124999978886332","4.2473078523568","29.999999655058","16.0146975323071","0","0","0",1049.16979616039
"FRA","0.0814596861247163","0.0685966134830942","0.108260331350738","0.124997083772658","4.24170626465376","29.9999999993413","16.0148258747651","0.0137426685690167","29.9999996468695","0.997352852003297",1049.10417313186
