"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.0021399215152362","0.106990961073657","0.12036304437398","0.0378049695999372","0","0","0","0","0","0",1736.3714242311
"WSLS","0.00266013838615906","0.124999999992554","0.125","0.0469716248085919","1.52823032006921e-08","30","32","0","0","0",1741.45641855222
"FRA","0.00265754310564698","0.125","0.124999999805607","0.0469714961726428","0","29.0000515703359","31.9999999496105","1.66936742207469e-08","29","0.999973349775189",1741.45641860821
