"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.09578670155634","0.052987402705225","0.112430754772927","0.0383834530833657","0","0","0","0","0","0",1970.46517045968
"WSLS","0.110772956204387","0.0612802260912571","0.124999998673504","0.0443895773268404","0","29.000000316237","31.9999604426714","0","0","0",1970.74743127323
"FRA","0.110402194638359","0.0610566241098598","0.124999999395945","0.0444170222739982","7.15854597821419e-08","29.0000000048062","31.9994731183829","0.00930039370727886","29.9999999999994","0.999999975472953",1970.6260237878
