"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.118028237065916","0.0223048480282433","0.124999999934011","0.124999999961018","0","0","0","0","0","0",2197.46265764121
"WSLS","0.124999999845878","0.039198617933042","0.12499999999814","0.112009657369053","4.27327093299287","29.9310415463765","1.59724757842696","0","0","0",844.742187653055
"FRA","0.12499999999999","0.0398274433198909","0.124999905197394","0.111586940386837","4.26883164315794","29.9038272760709","3.60534754730352","0.0370122607339929","29.8732567142865","0.927689870619013",844.014402817169
