"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.0772071969725632","0.12499999999932","0.12499999990461","0.0526933327751425","0","0","0","0","0","0",1938.25877967272
"WSLS","0.0745781144071147","0.124999999527823","0.125","0.0615643627617427","7.71765700482033","29.9946856198553","31.9999999978287","0","0","0",912.562573601841
"FRA","0.07459378812965","0.124999694930597","0.125","0.0615424056310724","4.49570536867069","29.9999999999957","31.9399875184801","0.00153298229893517","29.9999999989595","0.999982767702071",912.561434857184
