"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.125","0.0864813016485008","0.108890858086515","0.0829777651412712","0","0","0","0","0","0",1640.39385637286
"WSLS","0.124998840993189","0.0791354191806374","0.121332743323307","0.0979471644925608","0.715522011126901","29.8148137068012","9.73010898952245","0","0","0",1354.85233448621
"FRA","0.124997388834","0.124979934370512","0.100493842453059","0.0620676925198453","0.08818497005042","29.999999133935","2.62566343393266","0.965237033264094","29.0029639347208","0.595932178457065",1229.73691833684
