"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.124999999278406","0.0214100589916549","0.117504717699606","0.124999999999994","0","0","0","0","0","0",2120.5784542314
"WSLS","0.1249999984603","0.030833350889912","0.115222748472602","0.124999999853813","3.95957638839184","29.999999457052","2.09238532697235","0","0","0",894.701273517632
"FRA","0.124999999999978","0.0308296982420334","0.115225914944727","0.124999999786603","3.95964631205156","29.0000064724973","2.09547804452458","2.73749534152046e-06","29.9999722330113","0.500000000000197",894.701274447267
