"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.0139624387730956","0.108374808128535","0.102892983654249","0.0379006070207593","0","0","0","0","0","0",2308.59747777829
"WSLS","0.0214514169486769","0.0762803853924068","0.0861184002394093","0.0357662171227719","4.53973009534783","29.7311619234613","19.0800219174337","0","0","0",1453.0070709104
"FRA","0.0214483067440641","0.0762863466264861","0.086120891698089","0.0357697802022693","4.53990965636081","29.0000000236844","19.0820539401134","1.69013969486542e-08","29.9999992640499","0.9999992980237",1453.00707241626
