"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.125","0.125","0","0.125","0","0","0","0","0","0",2215.97469069387
"WSLS","0.124999999900148","0.124999993880657","0.000113636982854576","0.124999986635165","13.2481015937942","30","10.6469085300526","0","0","0",670.126186169509
"FRA","0.124999999999918","0.124999999055694","0.000113635836808276","0.125","13.2497260640824","29.9999999999106","10.6075128773102","1.42584277718072e-08","29.9999999998279","0.999999980450078",670.126175224991
