"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.124999999999979","0.12499999998873","0.125","0.0533721965482564","0","0","0","0","0","0",1768.45128504467
"WSLS","0.125","0.124999999774227","0.124999999064514","0.0752061743440421","2.14681001165762","29.9958939728079","23.5986507579076","0","0","0",1086.00570181429
"FRA","0.125","0.124999999113789","0.125","0.0752338992198772","2.13334391323919","30","20.068161196221","0","30","1",1077.97191765103
