"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.125","0.124999999927018","0.0135258181652177","0.111129185050488","0","0","0","0","0","0",2158.85444303201
"WSLS","0.113486107758665","0.104208426282787","0.00953721527340452","0.0701065445314752","8.6290733522365","29.0000000005733","17.0115433596414","0","0","0",1000.71865246203
"FRA","0.124999653790957","0.103045788588051","0.00943013424490437","0.0692991671352724","8.53305453309369","29.0000000121422","16.5605789505527","2.25878482584818e-08","29.7691889562362","0.708966117012139",1001.38732649119
