"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.0818046985685922","0.0940367337716404","0.124999994992934","0.0802720104650585","0","0","0","0","0","0",1376.57098790023
"WSLS","0.104863667616153","0.116848515882796","0.124999999505249","0.102674850096235","0.0293256627490746","29.9955539481377","29.5903752135738","0","0","0",1386.32131581251
"FRA","0.105081166866507","0.11979639986481","0.124999939974768","0.101320562835473","1.05637720793084e-10","29.9999941738286","31.999993184932","0.0207504065013187","29.0228375146739","0.795896177925728",1385.2601919263
