"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.12499999999784","0.116909966502599","0.124999999925685","0.109193496232975","0","0","0","0","0","0",1431.64767953054
"WSLS","0.125","0.124999999497702","0.125","0.124999999959655","1.04324094543745","29.0000000000015","0.0151067429164904","0","0","0",983.85291656804
"FRA","0.125","0.125","0.125","0.125","0.232365279005692","29","11.3558360594467","1.0022024522495","29.9999984145291","0.934197038255955",871.126103349779
