"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.0813123535395966","0.0385150984469385","0.106987584655719","0.116979654991685","0","0","0","0","0","0",1690.76753540364
"WSLS","0.0941516259740338","0.0442232656002797","0.123806992337308","0.124999994115359","0.0175164329931643","29.0000646447166","31.9999999979137","0","0","0",1691.47796005255
"FRA","0.0941497107997337","0.0442215698030121","0.123811593320353","0.124999999999756","0.0175358976016449","29.0000012483424","31.9999995101901","0","29.0000009449838","0.5",1691.47795868611
