"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.119939679234086","0.0303693053796814","0.112733918654805","0.124999997912947","0","0","0","0","0","0",1495.97188078813
"WSLS","0.125","0.0353199472479879","0.12499999967712","0.124999999994443","0.367361914298925","29.006175847729","14.0030744341576","0","0","0",1398.38625134759
"FRA","0.125","0.0352043727474542","0.114852772469645","0.125","0","29","3.4039606688907e-08","1.08755810845892","29","0.527398891296244",1234.07624128262
