"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.125","0.0147848148301752","0.12499999998456","0.125","0","0","0","0","0","0",1762.96947623441
"WSLS","0.124999997087585","0.0172565656360945","0.124999999999999","0.125","1.75362011768698","29","4.02827778627008","0","0","0",985.962415715602
"FRA","0.124999999999992","0.0066510323897298","0.124999999999999","0.124999998913855","1.9600610586199","29","2.49274225143786","0.916381001128674","29","0.617004014245131",843.005958651272
