"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.0134714419660825","0.0419146909146299","0.0439737153978455","0.0774684687130117","0","0","0","0","0","0",1778.66603053715
"WSLS","0.0153165520808352","0.0475547295477121","0.0499244751157696","0.0880418526839943","0.00842023036917716","29.9977012662298","31.9663442711383","0","0","0",1778.63899337912
"FRA","0.0148931467799317","0.0475436600629644","0.0490440495211314","0.0877375199600102","0.0278970868955175","29.8551844132923","23.5785763048083","0.00130513235227503","29.0776955924476","0.500005119255556",1777.75767490337
