"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.124999999999863","0.0616719604352834","0.12219321884014","0.124999999560299","0","0","0","0","0","0",1574.50489482313
"WSLS","0.124999999999873","0.0855449596061443","0.125","0.124999999891875","1.26268008615665","30","11.1169330034892","0","0","0",1049.30964207847
"FRA","0.124999992802183","0.124999994971304","0.123486288940744","0.12499999999859","0.576698123602976","29.0000000000002","1.4596952979673e-08","1.07425005415579","29.0002858111242","0.754405945891458",879.738807652539
