"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.111556507531357","0.124999999999437","0.0475711117274425","0.124999999327727","0","0","0","0","0","0",2289.0485371842
"WSLS","0.0853254260909108","0.124999744635233","0.0379922886890225","0.0753719611696148","6.05084208683565","29.9520327482509","13.5766057039596","0","0","0",1041.54893416728
"FRA","0.0853256227875161","0.124998327817309","0.0379888615958061","0.075365370669361","6.05066249434291","29.0190225430864","13.5813331142771","4.82948853131049e-05","29.9745166702299","0.999958242046374",1041.5488699353
