"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.125","0.0248205484606451","0.124999999921703","0.124999999939","0","0","0","0","0","0",1612.7299685069
"WSLS","0.125","0.0348167236268161","0.124999999999524","0.124999999999908","0.990503442381441","29.995963967926","6.96223389133099","0","0","0",1189.61521667316
"FRA","0.124999965957324","0.0368461349791684","0.124999612633876","0.124999999502223","0.365967274915641","29.0004449500462","2.66358440651944","1.08534251102305","29.0010983429862","0.708023896098792",978.950781070578
