"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.111194135495158","0.0217756249272704","0.0412124821131955","0.108089005006115","0","0","0","0","0","0",1851.83222211067
"WSLS","0.124999972622288","0.0247773085070313","0.0468976717419942","0.122988513260467","0","29.5316845109762","31.0499726160675","0","0","0",1851.84161129084
"FRA","0.124999999825851","0.0250570295583028","0.0461970306437372","0.121880521328892","1.86078930042299e-08","29.9977026870597","31.9994059741564","0.0227960558873697","29.0000000000339","1",1850.97155015454
