"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.00366581063171095","0.0388573008155854","0.0456382709618576","0.088711588986541","0","0","0","0","0","0",1795.44624313349
"WSLS","0.00416557518895901","0.0441540288011455","0.0518613942443355","0.100808114467968","4.00783295440021e-08","29.0452110375531","31.999999999671","0","0","0",1795.44624379729
"FRA","0.00416419392827241","0.0441550636510981","0.0518594785251158","0.100807176186364","7.07456315751642e-09","29.0005730037431","31.9999998885087","1.05298547659061e-08","29.0000001031479","0.999489996958035",1795.44624416747
