"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.124999999998977","0.0390147567187974","0.0958851062422855","0.124999999426651","0","0","0","0","0","0",1701.01667484562
"WSLS","0.124999996454141","0.0396842681850485","0.113112343114103","0.124999999997854","0.442507654239671","29.0000163642873","14.0300051997799","0","0","0",1563.05343898906
"FRA","0.124999999981829","0.0561028002500808","0.0586409247571404","0.124999995504543","0","30","1.0899681690546e-07","0.935719934623463","29.0000000000002","0.543327304656086",1393.62437874647
