"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.026498589809765","0.110879793192002","0.0998957928431183","0.0774099962348659","0","0","0","0","0","0",1857.7235682952
"WSLS","0.030143902669415","0.124999976795636","0.113628062721249","0.0880518218115936","1.09565134742695e-09","29.8453636469792","31.969001659371","0","0","0",1857.72920945629
"FRA","0.0301530925214106","0.125","0.113400702932809","0.0879102786689322","7.53114906548724e-06","30","32","0.00845791376674621","29.9962698188526","0.971474020790639",1857.56229053537
