"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.0605567666742284","0.0388225573346838","0.0626925293331923","0.0151397300787679","0","0","0","0","0","0",1676.61258965956
"WSLS","0.0689534463327652","0.0430505150713891","0.0711768332923201","0.0172394666111271","0.0660571195594817","29.9999999999109","32","0","0","0",1676.07093277002
"FRA","0.068754932017002","0.0431597314221325","0.0703582432787999","0.0170557101251154","0.0231720441585814","29.9999159948657","31.1943183156974","0.0200467178002872","29.8203447343821","0.999756480540923",1675.38432586608
