index,Dyad,Round,Player,Answer,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,Strategy,Is_there_LEAD,Ac_Score,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Score_LAG1,Consistency_LEAD1,Joint_LAG1,Dif_consist_LAG1,RegionGo
0,962036647,3,9620,Absent,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,11.0,21,Unicorn_Absent,6,Unicorn_Absent,-48,14.0,32,,57,,0.5625,RIGHT,,1.0,,,RIGHT
0,962036647,6,9620,Absent,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,29.0,3,Unicorn_Absent,0,Unicorn_Absent,27,26.0,5,0.12121212121212122,44,0.3787878787878788,0.640625,RS,14.0,0.05714285714285714,18.0,0.509090909090909,TOP
0,962036647,7,9620,Absent,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,6,Unicorn_Absent,4,Unicorn_Absent,53,5.0,32,0.05714285714285714,37,0.09503105590062114,0.484375,TOP,29.0,0.5081967213114754,3.0,0.3787878787878788,RS
0,962036647,13,9620,Absent,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,8.0,24,Unicorn_Absent,0,Unicorn_Absent,44,0.0,50,0.4909090909090909,58,0.13090909090909092,0.53125,RS,14.0,0.4909090909090909,18.0,0.4603174603174603,BOTTOM
0,962036647,17,9620,Absent,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,13.0,19,Unicorn_Absent,5,Unicorn_Absent,104,7.0,32,0.3333333333333333,46,0.006802721088435382,0.421875,LEFT,0.0,0.0,32.0,0.1575757575757576,RIGHT
0,962036647,21,9620,Absent,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4.0,28,Unicorn_Absent,8,Unicorn_Absent,176,9.0,28,0.30434782608695654,62,0.44565217391304346,0.53125,OUT,7.0,0.3137254901960784,25.0,0.5370370370370371,RS
0,962036647,22,9620,Absent,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,9.0,23,Unicorn_Absent,0,Unicorn_Absent,185,32.0,39,0.3137254901960784,52,0.21752450980392157,0.453125,RS,4.0,0.0,28.0,0.44565217391304346,NOTHING
0,962036647,29,9620,Absent,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-21.0,53,Unicorn_Absent,0,Unicorn_Absent,309,32.0,59,0.6349206349206349,62,0.21119182136131287,0.140625,RS,12.0,0.05084745762711865,20.0,0.037037037037037035,RS
0,962036647,35,9620,Absent,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,13.0,19,Unicorn_Absent,7,Unicorn_Absent,386,10.0,36,0.02631578947368421,47,0.15550239234449761,0.4375,IN,32.0,0.34545454545454546,0.0,0.10986682808716708,RS
0,962036647,36,9620,Absent,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,10.0,22,Unicorn_Absent,0,Unicorn_Absent,396,19.0,38,0.34545454545454546,48,0.002371541501976271,0.40625,RS,13.0,0.34545454545454546,19.0,0.15550239234449761,IN
0,962036647,39,9620,Absent,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,18.0,14,Unicorn_Absent,0,Unicorn_Absent,341,18.0,20,0.21739130434782608,52,0.006864988558352408,0.59375,RS,19.0,0.2631578947368421,13.0,0.09545454545454546,OUT
0,962036647,40,9620,Absent,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18.0,14,Unicorn_Absent,8,Unicorn_Absent,359,31.0,28,0.2631578947368421,46,0.12969924812030076,0.5,OUT,18.0,0.30434782608695654,14.0,0.006864988558352408,RIGHT
0,962036647,41,9620,Absent,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,31.0,1,Unicorn_Absent,6,Unicorn_Absent,390,24.0,32,0.30434782608695654,36,0.18313570487483533,0.546875,RIGHT,18.0,0.10256410256410256,14.0,0.12969924812030076,RS
0,962036647,42,9620,Absent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24.0,8,Unicorn_Absent,0,Unicorn_Absent,414,-4.0,11,0.10256410256410256,51,0.06334841628959276,0.671875,RS,31.0,0.175,1.0,0.18313570487483533,IN
0,962036647,46,9620,Absent,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32.0,0,Unicorn_Absent,6,Unicorn_Absent,273,-1.0,32,0.36,64,0.0,1.0,RIGHT,-4.0,0.36,36.0,0.35227272727272724,IN
0,962036647,47,9620,Absent,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1.0,33,Unicorn_Absent,7,Unicorn_Absent,272,15.0,36,0.36,62,0.10774193548387095,0.453125,IN,32.0,0.0,0.0,0.0,OUT
