level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,indice,Cambio,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1
46,0,522310585,7,5223,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13.0,19,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,189,0.88125,0.0,46,0,32.0,32,0.16279069767441862,48,0.16279069767441862,0.453125,32.0,1.0,0.26666666666666666,0.16279069767441862
47,0,522310585,8,5223,Absent,34,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,32.0,0,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,221,1.0,19.0,47,0,22.0,25,0.26666666666666666,25,0.26666666666666666,0.390625,13.0,0.88125,0.26666666666666666,0.16279069767441862
52,0,522310585,3,105859,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,92,1.0,0.0,52,0,20.0,0,0.0,32,1.0,0.5,28.0,0.975,0.0,
55,0,522310585,6,105859,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,176,1.0,0.0,55,0,13.0,0,0.0,18,0.16279069767441862,0.28125,20.0,0.925,0.0,1.0
56,0,522310585,7,105859,Absent,58,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,13.0,19,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,189,0.88125,0.0,56,0,32.0,35,0.0,48,0.16279069767441862,0.453125,32.0,1.0,0.0,0.16279069767441862
57,0,522310585,8,105859,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,221,1.0,19.0,57,0,22.0,0,0.0,25,0.26666666666666666,0.390625,13.0,0.88125,0.0,0.16279069767441862
62,0,1115259162,3,111523,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24.0,8,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,81,0.95,0.0,62,0,26.0,32,,41,,0.515625,,,1.0,
63,0,1115259162,4,111523,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26.0,6,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,107,0.9625,8.0,63,0,20.0,32,1.0,39,0.8,0.515625,24.0,0.95,1.0,
72,0,1115259162,3,591621,Absent,19,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,24.0,8,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,81,0.95,0.0,72,0,26.0,17,,41,,0.515625,,,0.2,
73,0,1115259162,4,591621,Absent,14,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26.0,6,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,107,0.9625,8.0,73,0,20.0,13,0.2,39,0.8,0.515625,24.0,0.95,0.17142857142857143,
86,0,1138338375,7,113838,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26.0,6,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,106,0.9625,0.0,86,0,30.0,32,,41,,0.546875,,,1.0,
96,0,1138338375,7,383756,Absent,19,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,26.0,6,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,106,0.9625,0.0,96,0,30.0,15,,41,,0.546875,,,0.125,
101,0,1248187731,2,124817,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25.0,7,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,51,0.95625,6.0,101,0,0.0,32,,40,,0.515625,,,1.0,
102,0,1248187731,3,124817,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,32,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,51,0.8,7.0,102,0,17.0,32,1.0,64,0.765625,0.5,25.0,0.95625,1.0,
103,0,1248187731,4,124817,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17.0,15,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,68,0.90625,32.0,103,0,0.0,32,1.0,45,0.5625,0.46875,0.0,0.8,1.0,0.765625
111,0,1248187731,2,877312,Absent,16,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,25.0,7,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,51,0.95625,6.0,111,0,0.0,15,,40,,0.515625,,,0.234375,
112,0,1248187731,3,877312,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,32,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,51,0.8,7.0,112,0,17.0,64,0.234375,64,0.765625,0.5,25.0,0.95625,0.4375,
113,0,1248187731,4,877312,Absent,37,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,17.0,15,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,68,0.90625,32.0,113,0,0.0,28,0.4375,45,0.5625,0.46875,0.0,0.8,0.4375,0.765625
120,0,1483085176,1,148306,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29.0,3,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,29,0.98125,,120,0,17.0,32,,37,,0.53125,,,1.0,
125,0,1483085176,6,148306,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15.0,17,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,144,0.89375,6.0,125,0,27.0,32,1.0,52,0.7727272727272727,0.546875,26.0,0.9625,1.0,0.813953488372093
126,0,1483085176,7,148306,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27.0,5,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,171,0.96875,17.0,126,0,11.0,32,1.0,33,0.925,0.4375,15.0,0.89375,1.0,0.7727272727272727
130,0,1483085176,1,851766,Absent,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,29.0,3,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,29,0.98125,,130,0,17.0,8,,37,,0.53125,,,0.10526315789473684,
135,0,1483085176,6,851766,Absent,50,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,15.0,17,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,144,0.89375,6.0,135,0,27.0,37,0.22727272727272727,52,0.7727272727272727,0.546875,26.0,0.9625,0.075,0.813953488372093
136,0,1483085176,7,851766,Absent,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.0,5,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,171,0.96875,17.0,136,0,11.0,6,0.075,33,0.925,0.4375,15.0,0.89375,0.09523809523809523,0.7727272727272727
146,0,1483642486,7,42486,Absent,30,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,21.0,11,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,159,0.93125,10.0,146,0,22.0,24,0.28888888888888886,45,0.7111111111111111,0.53125,13.0,0.88125,0.1891891891891892,0.925
147,0,1483642486,8,42486,Absent,29,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,22.0,10,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,181,0.9375,11.0,147,0,16.0,20,0.1891891891891892,42,0.8108108108108107,0.5,21.0,0.93125,0.19047619047619047,0.7111111111111111
148,0,1483642486,9,42486,Absent,44,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,16.0,16,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,197,0.9,10.0,148,0,32.0,30,0.19047619047619047,46,0.8095238095238095,0.46875,22.0,0.9375,0.0,0.8108108108108107
156,0,1483642486,7,148365,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21.0,11,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,159,0.93125,10.0,156,0,22.0,32,1.0,45,0.7111111111111111,0.53125,13.0,0.88125,1.0,0.925
157,0,1483642486,8,148365,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22.0,10,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,181,0.9375,11.0,157,0,16.0,32,1.0,42,0.8108108108108107,0.5,21.0,0.93125,1.0,0.7111111111111111
158,0,1483642486,9,148365,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16.0,16,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,197,0.9,10.0,158,0,32.0,32,1.0,46,0.8095238095238095,0.46875,22.0,0.9375,1.0,0.8108108108108107
164,0,1515796185,5,151575,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31.0,1,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,39,0.99375,0.0,164,0,0.0,32,1.0,33,1.0,0.5,20.0,0.925,1.0,
174,0,1515796185,5,961853,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31.0,1,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,39,0.99375,0.0,174,0,0.0,2,0.0,33,1.0,0.5,20.0,0.925,0.03125,
200,0,2011825715,1,201189,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25.0,7,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,25,0.95625,,200,0,0.0,32,,42,,0.546875,,,1.0,
201,0,2011825715,2,201189,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,32,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,25,0.8,7.0,201,0,30.0,32,1.0,64,0.734375,0.5,25.0,0.95625,1.0,
202,0,2011825715,3,201189,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30.0,2,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,55,0.9875,32.0,202,0,0.0,32,1.0,33,0.953125,0.484375,0.0,0.8,1.0,0.734375
210,0,2011825715,1,257154,Absent,20,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,25.0,7,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,25,0.95625,,210,0,0.0,17,,42,,0.546875,,,0.265625,
211,0,2011825715,2,257154,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,32,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,25,0.8,7.0,211,0,30.0,64,0.265625,64,0.734375,0.5,25.0,0.95625,0.046875,
212,0,2011825715,3,257154,Absent,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,2,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,55,0.9875,32.0,212,0,0.0,3,0.046875,33,0.953125,0.484375,0.0,0.8,0.046875,0.734375
227,0,2023865797,8,202386,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23.0,9,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,-81,0.94375,9.0,227,0,14.0,32,1.0,46,0.9285714285714286,0.578125,27.0,0.96875,1.0,0.9310344827586207
237,0,2023865797,8,657979,Absent,26,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,23.0,9,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,-81,0.94375,9.0,237,0,14.0,23,0.07142857142857142,46,0.9285714285714286,0.578125,27.0,0.96875,0.32608695652173914,0.9310344827586207
262,0,2348460271,3,234842,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18.0,14,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,66,0.9125,1.0,262,0,18.0,32,1.0,48,0.6511627906976745,0.53125,17.0,0.90625,1.0,
272,0,2348460271,3,602717,Absent,39,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,18.0,14,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,66,0.9125,1.0,272,0,18.0,30,0.3488372093023256,48,0.6511627906976745,0.53125,17.0,0.90625,0.391304347826087,
285,0,2350976426,6,235097,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25.0,7,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,48,0.95625,7.0,285,0,11.0,32,1.0,44,0.775,0.578125,18.0,0.9125,1.0,0.6538461538461539
286,0,2350976426,7,235097,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11.0,21,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,59,0.86875,7.0,286,0,0.0,32,1.0,52,0.7234042553191489,0.484375,25.0,0.95625,1.0,0.775
295,0,2350976426,6,764266,Absent,20,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,25.0,7,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,48,0.95625,7.0,295,0,11.0,19,0.225,44,0.775,0.578125,18.0,0.9125,0.2765957446808511,0.6538461538461539
