level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,indice,Cambio,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1
3,0,25748712,4,712,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,114,1.0,0.0,3,0,30.0,32,0.15,64,0.85,1.0,24.0,0.95,0.029411764705882353,
13,0,25748712,4,257481,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32.0,0,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,114,1.0,0.0,13,0,30.0,32,1.0,64,0.85,1.0,24.0,0.95,1.0,
22,0,367223345,3,3345,Absent,30,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,19.0,13,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,-37,0.91875,11.0,22,0,21.0,24,,43,,0.46875,,,0.23529411764705882,
23,0,367223345,4,3345,Absent,21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,21.0,11,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,-16,0.93125,13.0,23,0,15.0,18,0.23529411764705882,39,0.7647058823529411,0.4375,19.0,0.91875,0.1702127659574468,
27,0,367223345,8,3345,Absent,25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,19.0,13,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,-27,0.91875,0.0,27,0,28.0,20,0.26666666666666666,39,0.7333333333333334,0.40625,15.0,0.89375,0.03571428571428571,0.8297872340425532
32,0,367223345,3,367225,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19.0,13,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,-37,0.91875,11.0,32,0,21.0,32,,43,,0.46875,,,1.0,
33,0,367223345,4,367225,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21.0,11,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,-16,0.93125,13.0,33,0,15.0,32,1.0,39,0.7647058823529411,0.4375,19.0,0.91875,1.0,
37,0,367223345,8,367225,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19.0,13,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,-27,0.91875,0.0,37,0,28.0,32,1.0,39,0.7333333333333334,0.40625,15.0,0.89375,1.0,0.8297872340425532
42,0,522310585,3,5223,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32.0,0,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,92,1.0,0.0,42,0,20.0,32,1.0,32,1.0,0.5,28.0,0.975,1.0,
45,0,522310585,6,5223,Absent,21,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,176,1.0,0.0,45,0,13.0,18,0.16279069767441862,18,0.16279069767441862,0.28125,20.0,0.925,0.16279069767441862,1.0
