index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Similarity,Score_LAG1,Consistency_LEAD1,Joint_LAG1,Dif_consist_LAG1,RegionGo,Similarity_LAG1
0,12477554,29,554,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16.0,16,Unicorn_Absent,-1,-1.0,6,Unicorn_Absent,164,29.0,32,1.0,48,0.6666666666666667,0.5,RIGHT,1.0,32.0,0.06060606060606061,0.0,0.25,RS,1.0
0,12477554,30,554,Absent,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.0,3,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,193,13.0,3,0.06060606060606061,64,0.4393939393939394,0.953125,RS,0.06060606060606061,16.0,0.08571428571428572,16.0,0.6666666666666667,RS,1.0
0,12477554,31,554,Absent,35,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,13.0,19,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,206,-25.0,35,0.08571428571428572,48,0.41428571428571426,0.453125,RS,0.546875,29.0,0.546875,3.0,0.4393939393939394,ALL,0.06060606060606061
0,12477554,32,554,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-25.0,57,Unicorn_Absent,-1,-1.0,1,Unicorn_Absent,181,32.0,64,0.546875,64,0.11139112903225806,0.109375,ALL,1.0,13.0,0.5,19.0,0.41428571428571426,BOTTOM,0.546875
0,12477554,38,554,Absent,27,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,17.0,15,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,246,20.0,27,0.3409090909090909,50,0.044612794612794604,0.546875,RS,0.421875,32.0,0.3404255319148936,0.0,0.0,IN,1.0
0,12477554,39,554,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,20.0,12,Unicorn_Absent,-1,-1.0,7,Unicorn_Absent,266,12.0,36,0.3404255319148936,47,0.014338575393154473,0.546875,IN,1.0,17.0,0.46938775510204084,15.0,0.044612794612794604,RS,0.421875
0,12477554,40,554,Absent,36,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,12.0,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,278,2.0,36,0.46938775510204084,48,0.1598639455782313,0.4375,RS,0.5625,20.0,0.5555555555555556,12.0,0.014338575393154473,RS,1.0
0,12477554,41,554,Absent,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2.0,30,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,280,-28.0,62,0.5555555555555556,64,0.326797385620915,0.53125,RS,0.96875,12.0,0.9375,20.0,0.1598639455782313,ALL,0.5625
0,12477554,45,554,Absent,23,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,29.0,3,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,321,32.0,23,0.3492063492063492,36,0.09114183307731694,0.515625,RS,0.375,-28.0,0.03125,60.0,0.44543650793650796,RS,0.96875
0,12477554,3,124776,Absent,40,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,32.0,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,85,17.0,40,,40,,0.625,RS,0.625,,0.44,,,TOP,
