index,Dyad,Round,Player,Answer,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,Strategy,Is_there_LEAD,Ac_Score,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Similarity,Score_LAG1,Consistency_LEAD1,Joint_LAG1,Dif_consist_LAG1,RegionGo,Similarity_LAG1
0,1360740223,46,136078,Absent,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,32.0,0,Unicorn_Absent,8,Unicorn_Absent,1084,4.0,28,1.0,64,0.6122448979591837,1.0,OUT,1.0,19.0,0.8666666666666667,13.0,0.38831967213114754,OUT,1.0
0,1360740223,47,136078,Absent,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,4.0,28,Unicorn_Absent,8,Unicorn_Absent,1088,14.0,28,0.8666666666666667,64,0.3041666666666667,0.5625,OUT,0.8666666666666667,32.0,0.03225806451612903,0.0,0.6122448979591837,IN,1.0
0,1360740223,48,136078,Absent,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14.0,18,Unicorn_Absent,7,Unicorn_Absent,1102,32.0,36,0.03225806451612903,50,0.467741935483871,0.5,IN,1.0,4.0,0.36,28.0,0.3041666666666667,LEFT,0.8666666666666667
0,1360740223,52,136078,Absent,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32.0,0,Unicorn_Absent,5,Unicorn_Absent,1230,-30.0,32,1.0,64,0.0,1.0,LEFT,1.0,32.0,0.5161290322580645,0.0,0.64,ALL,1.0
0,1360740223,3,402231,Absent,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,21.0,11,Unicorn_Absent,0,Unicorn_Absent,31,32.0,23,0.3050847457627119,48,0.22033898305084748,0.578125,RS,0.375,-13.0,0.3076923076923077,45.0,,OUT,
0,1360740223,4,402231,Absent,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,32.0,0,Unicorn_Absent,8,Unicorn_Absent,63,-4.0,28,0.3076923076923077,64,0.6923076923076923,1.0,OUT,1.0,21.0,0.4375,11.0,0.22033898305084748,ALL,0.375
0,1360740223,5,402231,Absent,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-4.0,36,Unicorn_Absent,1,Unicorn_Absent,59,18.0,64,0.4375,64,0.5625,0.4375,ALL,1.0,32.0,0.5,0.0,0.6923076923076923,BOTTOM,1.0
0,1360740223,6,402231,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18.0,14,Unicorn_Absent,3,Unicorn_Absent,77,14.0,32,0.5,46,0.5,0.5,BOTTOM,1.0,-4.0,0.36,36.0,0.5625,IN,1.0
0,1360740223,18,402231,Absent,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,7,Unicorn_Absent,439,32.0,36,1.0,64,0.1333333333333333,1.0,IN,1.0,30.0,1.0,2.0,0.25,IN,1.0
0,1360740223,19,402231,Absent,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,7,Unicorn_Absent,471,32.0,36,1.0,64,0.0,1.0,IN,1.0,32.0,1.0,0.0,0.1333333333333333,IN,1.0
0,1360740223,22,402231,Absent,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,7,Unicorn_Absent,567,32.0,36,1.0,64,0.0,1.0,IN,1.0,32.0,1.0,0.0,0.0,IN,1.0
0,1360740223,33,402231,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,2,Unicorn_Absent,812,32.0,0,1.0,64,0.0,1.0,NOTHING,1.0,32.0,1.0,0.0,0.5,NOTHING,1.0
0,1360740223,36,402231,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,2,Unicorn_Absent,908,32.0,0,1.0,64,0.0,1.0,NOTHING,1.0,32.0,1.0,0.0,0.0,NOTHING,1.0
0,1360740223,39,402231,Absent,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,10.0,22,Unicorn_Absent,0,Unicorn_Absent,920,17.0,41,0.0,51,0.5,0.453125,RS,0.640625,32.0,0.46,0.0,0.0,RIGHT,1.0
0,1360740223,40,402231,Absent,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,17.0,15,Unicorn_Absent,6,Unicorn_Absent,937,32.0,32,0.46,49,0.54,0.53125,RIGHT,0.8823529411764706,10.0,0.3617021276595745,22.0,0.5,TOP,0.640625
0,1360740223,41,402231,Absent,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,4,Unicorn_Absent,969,0.0,32,0.3617021276595745,64,0.6382978723404256,1.0,TOP,1.0,17.0,0.8823529411764706,15.0,0.54,TOP,0.8823529411764706
0,1360740223,46,402231,Absent,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,7,Unicorn_Absent,1084,4.0,36,0.3877551020408163,64,0.6122448979591837,1.0,IN,1.0,19.0,0.5625,13.0,0.38831967213114754,ALL,1.0
0,1360740223,47,402231,Absent,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0,28,Unicorn_Absent,1,Unicorn_Absent,1088,14.0,64,0.5625,64,0.3041666666666667,0.5625,ALL,1.0,32.0,0.5,0.0,0.6122448979591837,RIGHT,1.0
0,1360740223,48,402231,Absent,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,14.0,18,Unicorn_Absent,6,Unicorn_Absent,1102,32.0,32,0.5,50,0.467741935483871,0.5,RIGHT,1.0,4.0,1.0,28.0,0.3041666666666667,RIGHT,1.0
0,1360740223,52,402231,Absent,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32.0,0,Unicorn_Absent,6,Unicorn_Absent,1230,-30.0,32,1.0,64,0.0,1.0,RIGHT,1.0,32.0,0.5,0.0,0.64,ALL,1.0
0,1777113809,13,138099,Absent,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32.0,0,Unicorn_Absent,5,Unicorn_Absent,263,0.0,32,1.0,64,0.0,1.0,LEFT,1.0,32.0,1.0,0.0,0.0,LEFT,
0,1777113809,14,138099,Absent,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.0,32,Unicorn_Absent,5,Unicorn_Absent,263,14.0,32,1.0,64,0.5,0.5,LEFT,1.0,32.0,0.0,0.0,0.0,RIGHT,1.0
0,1777113809,18,138099,Absent,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16.0,16,Unicorn_Absent,5,Unicorn_Absent,352,16.0,32,0.0,48,0.36,0.5,LEFT,1.0,14.0,0.3333333333333333,18.0,0.5625,TOP,1.0
0,1777113809,21,138099,Absent,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,4,Unicorn_Absent,432,32.0,32,1.0,64,0.6666666666666667,1.0,TOP,1.0,16.0,1.0,16.0,0.0,TOP,1.0
0,1777113809,25,138099,Absent,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16.0,16,Unicorn_Absent,6,Unicorn_Absent,521,16.0,32,0.3333333333333333,48,0.6666666666666667,0.5,RIGHT,1.0,32.0,1.0,0.0,0.0,RIGHT,1.0
0,1777113809,31,138099,Absent,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32.0,0,Unicorn_Absent,6,Unicorn_Absent,697,0.0,32,1.0,64,0.6666666666666667,1.0,RIGHT,1.0,16.0,0.5,16.0,0.0,ALL,1.0
0,1777113809,37,138099,Absent,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32.0,0,Unicorn_Absent,6,Unicorn_Absent,647,0.0,32,0.5,64,0.5,1.0,RIGHT,1.0,0.0,1.0,32.0,0.5,RIGHT,1.0
0,1777113809,40,138099,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,2,Unicorn_Absent,0,Unicorn_Absent,697,19.0,4,0.09090909090909091,34,0.40909090909090906,0.5,RS,0.09090909090909091,0.0,0.03225806451612903,32.0,0.5,OUT,1.0
0,1777113809,41,138099,Absent,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,19.0,13,Unicorn_Absent,8,Unicorn_Absent,716,32.0,28,0.03225806451612903,46,0.8768328445747801,0.515625,OUT,1.0,30.0,0.30434782608695654,2.0,0.40909090909090906,TOP,0.09090909090909091
0,1777113809,42,138099,Absent,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,4,Unicorn_Absent,748,32.0,32,0.30434782608695654,64,0.6047430830039525,1.0,TOP,1.0,19.0,1.0,13.0,0.8768328445747801,TOP,1.0
0,1777113809,46,138099,Absent,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,30,Unicorn_Absent,1,Unicorn_Absent,846,14.0,62,0.5161290322580645,64,0.4838709677419355,0.53125,ALL,0.96875,32.0,0.53125,0.0,0.0,IN,1.0
0,1777113809,52,138099,Absent,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,13.0,19,Unicorn_Absent,7,Unicorn_Absent,800,14.0,36,0.8461538461538461,49,0.8461538461538461,0.46875,IN,0.8947368421052632,14.0,0.8947368421052632,18.0,0.19791666666666669,IN,0.96875
0,1777113809,56,138099,Absent,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4.0,28,Unicorn_Absent,8,Unicorn_Absent,875,30.0,28,0.0,28,0.30434782608695654,0.0,OUT,1.0,14.0,1.0,18.0,0.8947368421052632,OUT,0.8947368421052632
0,1777113809,57,138099,Absent,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,30.0,2,Unicorn_Absent,8,Unicorn_Absent,905,30.0,28,1.0,62,0.967741935483871,0.9375,OUT,1.0,4.0,0.8666666666666667,28.0,0.30434782608695654,OUT,1.0
0,1777113809,13,177713,Absent,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32.0,0,Unicorn_Absent,6,Unicorn_Absent,263,0.0,32,1.0,64,0.0,1.0,RIGHT,1.0,32.0,0.5,0.0,0.0,ALL,
0,1777113809,14,177713,Absent,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,32,Unicorn_Absent,1,Unicorn_Absent,263,14.0,64,0.5,64,0.5,0.5,ALL,1.0,32.0,0.5625,0.0,0.0,IN,1.0
0,1777113809,18,177713,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16.0,16,Unicorn_Absent,3,Unicorn_Absent,352,16.0,32,0.36,48,0.36,0.5,BOTTOM,1.0,14.0,0.3333333333333333,18.0,0.5625,RIGHT,1.0
0,1777113809,21,177713,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32.0,0,Unicorn_Absent,3,Unicorn_Absent,432,32.0,32,0.3333333333333333,64,0.6666666666666667,1.0,BOTTOM,1.0,16.0,1.0,16.0,0.0,BOTTOM,1.0
0,1777113809,25,177713,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16.0,16,Unicorn_Absent,3,Unicorn_Absent,521,16.0,32,1.0,48,0.6666666666666667,0.5,BOTTOM,1.0,32.0,1.0,0.0,0.0,BOTTOM,1.0
0,1777113809,31,177713,Absent,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32.0,0,Unicorn_Absent,5,Unicorn_Absent,697,0.0,32,0.3333333333333333,64,0.6666666666666667,1.0,LEFT,1.0,16.0,1.0,16.0,0.0,LEFT,1.0
0,1777113809,37,177713,Absent,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32.0,0,Unicorn_Absent,5,Unicorn_Absent,647,0.0,32,1.0,64,0.5,1.0,LEFT,1.0,0.0,0.5,32.0,0.5,ALL,1.0
0,1777113809,40,177713,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30.0,2,Unicorn_Absent,3,Unicorn_Absent,697,19.0,32,0.5,34,0.40909090909090906,0.5,BOTTOM,1.0,0.0,0.9090909090909091,32.0,0.5,BOTTOM,1.0
0,1777113809,41,177713,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,19.0,13,Unicorn_Absent,3,Unicorn_Absent,716,32.0,31,0.9090909090909091,46,0.8768328445747801,0.515625,BOTTOM,0.9090909090909091,30.0,0.9090909090909091,2.0,0.40909090909090906,BOTTOM,1.0
0,1777113809,42,177713,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32.0,0,Unicorn_Absent,3,Unicorn_Absent,748,32.0,32,0.9090909090909091,64,0.6047430830039525,1.0,BOTTOM,1.0,19.0,1.0,13.0,0.8768328445747801,BOTTOM,0.9090909090909091
